id;vehicle_id;detail;unit_price;vat_amount;vat_percentage;net_amount
1;1;multi-byte proactive;53965;74358;22760;26004
2;1;Estonia methodologies;24501;71898;1076;986
3;1;deposit Fish Towels;4219;78744;89097;31703
4;2;Hat copy calculating;40974;31994;11728;22485
5;2;Object-based transmitting;34631;4675;4425;21567
6;2;calculate index Chips;34432;29982;62413;25481
7;3;Handmade JBOD Lead;24882;83089;9639;23077
8;3;calculating;60987;85168;38722;57306
9;4;overriding calculate;40551;64917;87902;95649
10;4;Incredible Hat convergence;93924;18661;86590;79312
